risk_id,cluster_id,evidence_id,published_date,publisher,title,url,source_type,search_query,relevance_score,event_type_hint,entity_keywords,event_keywords,asset_keywords
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000071,EV-17CEA0B36C,2025-10-29,Foley & Lardner LLP,Combatting Supply Chain Cyber Threats: Safeguarding Data and Protecting Digital Supply Chains in a Rapidly Evolving Cyber Landscape - Foley & Lardner LLP,https://news.google.com/rss/articles/CBMixgFBVV95cUxQTUR3SFNDMi05Z25wYWNRVzNfT3hVa0xWc1pERTNMcXQ4T3QtRTF2bV9oSDZCV1MzSVozaXRoNXQ3Z1VuSzI0czVYS3NfUnR2c0hJcklBeGszbUV3Y2l1WTNJU3lwWC12QzA5b2pDeTlNU2R6V1Q0ejIweDRNa1I1SUljSkZjN3N4T0tBdDJoRU4zWjhXTjRNQWpKT2M4NFd3bFhIdVBTa0ttaUhKbWQwYjJocXVwbXR0c1U2allodk5LSnBwR1E?oc=5,news,"cyber attack supply chain, network compromise logistics, data breach supplier, security breach logistics company",0.55,UNKNOWN,,,
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000075,EV-721701678A,2025-11-03,Gulf News,Petrofac collapse: 7 warning signs the global energy industry missed - Gulf News,https://news.google.com/rss/articles/CBMitwFBVV95cUxNUHBGSTR5ZzJhVDF4djNZSjVnSHlKV292X0J4eU9xU1NrdzZESDdqdmwtRVZkdS1RSEJDTENuRkFDcXh4Ul9aN1VDSVcwWlJvZWNOVHpMWUdyaHZTYUVJQzhESzhseWt1MUVvMWlrWWo5MHprdTRqdkllMUpTU1pNRWV4VWllX1UxQVlSZUdsTkNDMWc0ODBZLTBXczlVblBEcEdLQTR4YW1DeWZvOC13dG1RNFVONTTSAcoBQVVfeXFMTU5sc1VpYmVwdVhqQVJUNzJuN3ZlUlpVYm1tVFIxanZ6X0xZVUctS1FMUjhDZVRFVnpDTTU2V3VGUzQwczh3SHYtX2JuVTVMMnF3NExNZzJjTmdPWm9VUWtKNkVJNUdoZ3FsVW1iclhRcDROVG1XSFloeDcwVm82aUFQSkJ0dnRHbDF6bnh4TEtWVExOMTI4dDhLbmR4Yl9XM3B4ZUkxODBhc185YnQtTG5XYllvaTlmM3cxejFPNVlXcnZ1WVRWbWZ2UQ?oc=5,news,supplier operational collapse,0.35,UNKNOWN,,,
RISK-UNKNOWN-UNKNOWN-AD10A240,CL-000076,EV-81294C7FD7,2025-11-05,Reuters,"At least seven dead after UPS plane crashes in fireball on takeoff from Louisville, Kentucky - Reuters",https://news.google.com/rss/articles/CBMitAFBVV95cUxNMFU4VXJ6T0l6VGRhalUwY3hYc1I1VDdfcmYtMjIwZGdCNHdBNTV2YWhZRl9hNDdZSTVfS3FKZUFQZDBaN3FrLVEySFM0MTRBSkdtdG1jVEhmUnA1X09QcmloUm84Yy1oWEY4cWxINGdiOGxOYzlzaGVHY285S2lXSVVPcnVzTjBLQU11V1dmTzhzek44TjVpOE1qWFllSnpWemIyaVV5eE5GaEIzSlhTQTZHanM?oc=5,news,"UPS failure,environmental alert",0.3,UNKNOWN,,,
RISK-UNKNOWN-SYSTEMS-E18EEC61,CL-000078,EV-56CA833C39,2025-11-14,The Palm Beach Post,County Library system can't get new books after its distributor ceases operations - The Palm Beach Post,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPRDZIbk8xdkhHRmdlcDFZb2o5bzhWRndhTnRvS3BmV2FNbF96WEJ0Q3lvRXd5QkNSYVp4ZVpLZFE3U243WmpkcHoyNXplSkIxSXlJT2xUVnh4RU5rTDZEZHFlNWJMeFc3S3NyTEVzeGhDcU1mSW1Kd3NHUTJaZUlNel96WTVzVWl6bFB5d0pLR183MVNxRWNlMkJXbmVnUzI1LS1GZm5idkxremFObjkwYzI2QmlMZE0xU3hpc1M2S2Fhd1BPOVROWGt1MVIxNmRv?oc=5,news,supplier operational collapse,0.25,UNKNOWN,,,system
RISK-UNKNOWN-UNKNOWN-BABB868B,CL-000082,EV-CF7468B63E,2025-11-18,cyberpress.org,Cloudflare Shares Technical Breakdown of Major Internet Disruption - cyberpress.org,https://news.google.com/rss/articles/CBMibkFVX3lxTE4xRXZsaVBJYV80Ul81cHVTT1hTRTJZR2JJSG1qWHphQWZEMHVERnBjTENoZjN0cVIxUENIYjVkWWdYY1dQaUtmVVlDYXdJQ05sZWZrUEV3NTNzbFBwRTY5UlptTFZrcEtBYTJ2YlR3?oc=5,news,"authentication failure,login disruption",0.4,UNKNOWN,,disruption,
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000085,EV-15BE96189B,2025-11-20,Logistics Viewpoints,Why Supply Chain Automation Fails Before It Even Starts - Logistics Viewpoints,https://news.google.com/rss/articles/CBMioAFBVV95cUxOMzlQYjZaNVl5czE3c1BTbGlDUExCakMtVUJGeV9JMFpPNzRaTEd6RFY2bTR6X1lLcm1FYWJsSGxabGprYU5KQmhUN0FjNnM2VFlsTHdyR3oxV1c5OVJuNDI4MXdDeUZCU1RKbkFpVW44NlY3UG93TmNocVFsLUFsd0xjV3VaLUtLR3RoQVpBWHN3am9mU21IM0Y5REsyM1Vj?oc=5,news,"logistics routing failure,shipment delay system",0.3,UNKNOWN,,,
RISK-UNKNOWN-UNKNOWN-24798EA0,CL-000086,EV-8D43E219A2,2025-11-20,IDTechEx,Low-Loss Materials: The Key Enablers for High-Speed Connectivity - IDTechEx,https://news.google.com/rss/articles/CBMitAFBVV95cUxNem1KVzdobTlreTlWR09BNmdHazNPQUZCbDVrNFo2cjhQNDR1ay12ajk3c09wcDFsVENJSExiQ3RXSzNSbUVnelg5T1hDYzYtS3pjYnUxTHNlSmJMUS1QbW5OUUdNeE9XRE05RzRLN1h3UXQ2eENMbERic2Iyb29JRnZTTDBydmE5eG9HbEVhOVkyS2Y4d28zN1paTUxRUTlJaVlDcFZyeUNkcmNpbl84dDZWTFE?oc=5,news,data center connectivity loss,0.3,UNKNOWN,,,
RISK-UNKNOWN-UNKNOWN-97597724,CL-000088,EV-CF9CAFB5F6,"evidence_id
EV-CF9CAFB5F6    2025-11-24
EV-CF9CAFB5F6    2025-11-24
Name: published_date, dtype: str","evidence_id
EV-CF9CAFB5F6    Cybersecurity Dive
EV-CF9CAFB5F6    Cybersecurity Dive
Name: publisher, dtype: str","evidence_id
EV-CF9CAFB5F6    Hackers steal sensitive data from major bankin...
EV-CF9CAFB5F6    Hackers steal sensitive data from major bankin...
Name: title, dtype: str","evidence_id
EV-CF9CAFB5F6    https://news.google.com/rss/articles/CBMiiwFBV...
EV-CF9CAFB5F6    https://news.google.com/rss/articles/CBMiiwFBV...
Name: url, dtype: str","evidence_id
EV-CF9CAFB5F6    news
EV-CF9CAFB5F6    news
Name: source_type, dtype: str","evidence_id
EV-CF9CAFB5F6                           vendor data breach
EV-CF9CAFB5F6    third party compromise,customer data leak
Name: search_query, dtype: str","evidence_id
EV-CF9CAFB5F6    0.55
EV-CF9CAFB5F6    0.55
Name: relevance_score, dtype: float64","evidence_id
EV-CF9CAFB5F6    UNKNOWN
EV-CF9CAFB5F6    UNKNOWN
Name: event_type_hint, dtype: str","evidence_id
EV-CF9CAFB5F6   NaN
EV-CF9CAFB5F6   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-CF9CAFB5F6    NaN
EV-CF9CAFB5F6    NaN
Name: event_keywords, dtype: str","evidence_id
EV-CF9CAFB5F6    NaN
EV-CF9CAFB5F6    NaN
Name: asset_keywords, dtype: str"
RISK-UNKNOWN-UNKNOWN-97597724,CL-000089,EV-CF9CAFB5F6,"evidence_id
EV-CF9CAFB5F6    2025-11-24
EV-CF9CAFB5F6    2025-11-24
Name: published_date, dtype: str","evidence_id
EV-CF9CAFB5F6    Cybersecurity Dive
EV-CF9CAFB5F6    Cybersecurity Dive
Name: publisher, dtype: str","evidence_id
EV-CF9CAFB5F6    Hackers steal sensitive data from major bankin...
EV-CF9CAFB5F6    Hackers steal sensitive data from major bankin...
Name: title, dtype: str","evidence_id
EV-CF9CAFB5F6    https://news.google.com/rss/articles/CBMiiwFBV...
EV-CF9CAFB5F6    https://news.google.com/rss/articles/CBMiiwFBV...
Name: url, dtype: str","evidence_id
EV-CF9CAFB5F6    news
EV-CF9CAFB5F6    news
Name: source_type, dtype: str","evidence_id
EV-CF9CAFB5F6                           vendor data breach
EV-CF9CAFB5F6    third party compromise,customer data leak
Name: search_query, dtype: str","evidence_id
EV-CF9CAFB5F6    0.55
EV-CF9CAFB5F6    0.55
Name: relevance_score, dtype: float64","evidence_id
EV-CF9CAFB5F6    UNKNOWN
EV-CF9CAFB5F6    UNKNOWN
Name: event_type_hint, dtype: str","evidence_id
EV-CF9CAFB5F6   NaN
EV-CF9CAFB5F6   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-CF9CAFB5F6    NaN
EV-CF9CAFB5F6    NaN
Name: event_keywords, dtype: str","evidence_id
EV-CF9CAFB5F6    NaN
EV-CF9CAFB5F6    NaN
Name: asset_keywords, dtype: str"
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000090,EV-E7784225B3,2025-11-24,Car Dealership Guy News,Bankrupt auto supplier First Brands sues ex-CEO for allegedly misusing company funds - Car Dealership Guy News,https://news.google.com/rss/articles/CBMixwFBVV95cUxNWHM1R3VWdEZJU2drOWtPOGhrVFVTYnRhUTRGdjJnTWphaVNBNlFXcFFXaDF1dGpJTHh3WGF4bGU5VmZwQ3FWZHcyQjk0ZDBxdkJxLW9QV3A1SGNxQ1pwdGVZUTdkV2ZaeVlqWFZWaVZST3paRmFBMUhfY2gyX1BSTk0wenA3dURfb1h2WXlsOVd5NzNBYXpqSXl6a2ItZWhET0pRVkFlQXRFcnJLVTZ3MmNHbmkwOWd0bDhncVZqUWp6TWMyOENV?oc=5,news,supplier operational collapse,0.35,UNKNOWN,,,
