cluster_id,cluster_type,profile_ids,event_type,primary_asset_or_service,business_function,start_date,end_date,evidence_ids,evidence_count,anchor_evidence_id,anchor_source_type,evidence_strength,entity_summary,impact_keywords,cluster_summary,confidence_score,publishers,urls,last_updated
CL-000021,INCIDENT,"SP-002,SP-005",OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-21,2025-10-21,"EV-3AA80863BB,EV-3AA80863BB,EV-3AA80863BB,EV-3AA80863BB",4,EV-3AA80863BB,news,Strong,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,Financial Executives International,https://news.google.com/rss/articles/CBMiogFBVV95cUxQc014MEJiUzMtdGIyYkhmcndfS0wxOHU4RFY0YUQyeUx5ZTdNblRmaUFHQ01uRFgtSU5mRXRFVEc3cC1vVDZuT29WeVJGWHFYTnM4MGtiVkc3LUhXSWdxYXlxcVkzZWctZkhLSVhxQTA5VkJJNjI5X1lwNVZ1WWtVUUIyMG9aYjVsLS1ldzhJdmktRE5iOE1uM0dLN1lIeDRiU0E?oc=5,2026-03-18T19:26:56
CL-000022,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-21,2025-10-21,"EV-A866428D1D,EV-A866428D1D,EV-A866428D1D,EV-A866428D1D",4,EV-A866428D1D,news,Strong,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxOeE4ycmlacV9XMzUzeE83dnZlcUV4c3RBNXJkMlhkSUxaTmhKQjNyV0dDbTJWRW9nUE8teU1MczY0dTZKUFVkSW9jNnJHVVFlQkhQNklXNlV0bkx1dy1STk9lZjM0ZE1JMVFnbmdzdGltRU1Wd21Nbm9GUDFqZmhpWmJGaER4ZGRxOFNfYzNvNmN6ZEFZYTdJVkdsdjRDbWZnRHlhbmh1NXpjdzFuNjBLeldkd3ZramM?oc=5,2026-03-18T19:26:56
CL-000023,INCIDENT,SP-014,CYBER_OPERATIONAL_DISRUPTION,UNKNOWN,IT Operations,2025-10-21,2025-10-21,EV-EB42DD50B1,1,EV-EB42DD50B1,news,Weak,,disruption,CYBER_OPERATIONAL_DISRUPTION affecting UNKNOWN in IT Operations.,0.65,The HIPAA Journal,https://news.google.com/rss/articles/CBMic0FVX3lxTE9FVEFFbGs4R3BpeFNfeDBka0MxSkN6c2xXU0taaFRPcWpldEhrQzhzMUJPbjNVa1JoN1JEQnJ3Y29EN0UxVW9YZkYxTVN0eWlOS3FWWlVKc0lKMXJOSzk3UUJIZHF4U25OQUFYNVlPNC0tN1U?oc=5,2026-03-18T19:26:56
CL-000024,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-10-22,2025-10-22,EV-878878A83D,1,EV-878878A83D,news,Weak,,breach,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,Daily Montanan,https://news.google.com/rss/articles/CBMizAFBVV95cUxQMnU4eTkyYTkzb2Ryc0tBeWpFZXhBUXRXNEphRjV6WUh3Zy1JdkF6YUhqcU1tVjNzMDRtVjJRTFZNNmlVTWhoblhsYmxGNGRIZnJGczhsVUZFVnJHaTU2ZUY2dm5lcmRsV3ZLYTI1WVF5b1FScDRCZVZJaU1ZTExybFdOUlBFYnE4RGx2a0RZTFJpTndld3BfaHp4Z3Y0SWJCNm1RbTltZWhtQmhEWW12UHFwa2tRS3poMEtQdUFHUllaU2J6aWlwaDNMQlA?oc=5,2026-03-18T19:26:56
CL-000025,INCIDENT,SP-012,OUTAGE_CLOUD_REGION,cloud,Procurement & Supply Chain,2025-10-22,2025-10-22,EV-0B0A3CA4C2,1,EV-0B0A3CA4C2,news,Weak,,outage,OUTAGE_CLOUD_REGION affecting cloud in Procurement & Supply Chain.,0.65,Automotive Manufacturing Solutions,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNWkNrNGhGYjFKdEtyaVNXRDFkbFpmSU82bXB0VmNHWlpRY1liQWpSZV9ib2dGaVp5ZlEwS01sdzZhdzMyUy1ib3R3b3Y5RHdqaHdUQXZROHdjT245VE44NUotWUJwRWhBcGxPUzI4MXYyZy1QMWdQamZmYVZzRUtWNW4yUER6SWVhRjE2enpqTHcxSy1aOG9jdzFvX045ME5ydW1Qc0tocHQtN3NPS3lwSUl2M2JzNnB0aDl5cTVtaTlYaGk3RnFiM0tnakdEN2pxOU9wNnhTVDc?oc=5,2026-03-18T19:26:56
CL-000026,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-29,2025-10-29,"EV-F2BC4475CF,EV-F2BC4475CF",2,EV-F2BC4475CF,news,Medium,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,ABC7 Los Angeles,https://news.google.com/rss/articles/CBMiugFBVV95cUxNc1EycG1yZm56MkNheDNGbXpjS0E0Vk1DVGlSSllPME5rTzNMczkwa0d3MU1Hc1lSNURIMUdqRWxqb1M4TDJMdWp3UlZ1a1NWRy1SYzdSOFVuc0RFbTYzR2dvc0NydFBUZGRKdlRHX2JfSnUySnZxOThCQTVVWEVMbWNIWDJwVENnYktra3JCY3pRSzcyTXY4Q2pVTm9DS2VGTG4ycVZhYldmbG45SXd0ZHJTc0JtLVZFTVHSAb8BQVVfeXFMTnI1ejRKQ09KOUpTV29PMHpWTElHS3lEZkRpUUc4Q0F5WTd2cU9WQ3V2bEdVVEZPQjNnRnMxNkJlNnpBVkJZaHcyMmZua21IS3RleTNaamdJaUpEdTBLVXhmeUgtX3FVTll5V09uejBNbzF1N1l5eUc3cUt3dzJDTXpqZFI0Zk5aNGhLajdkR3QwZ3BEVjE5R2x2UHFHdkpyN3lJVXlkbEh6WURscW90Y19xeGxmTFJWa25sVkF5NFU?oc=5,2026-03-18T19:26:56
CL-000027,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-11-20,2025-11-20,"EV-A5CDE23DBF,EV-A5CDE23DBF",2,EV-A5CDE23DBF,news,Medium,,breach,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,CyberScoop,https://news.google.com/rss/articles/CBMibkFVX3lxTFBDYlVna2UyOUo0OHJscW5BZ3JsQ3lReGtVN242cFdtTDc0NFpiNFM0THNoRV9SamxyaEFVQUFJRFA3WmVoVFdTU0FpS0tBWkljck1xLUFNNWN4M3FxeDNtcGo3dVRKS2lQMGlBSEt3?oc=5,2026-03-18T19:26:56
CL-000028,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-11-23,2025-11-23,EV-3F40A295B0,1,EV-3F40A295B0,news,Weak,,"breach,leak",SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,BleepingComputer,https://news.google.com/rss/articles/CBMisgFBVV95cUxQOURRR1FzX2Fwb1BmWjNQOWFpM3J4VF82NWxDSWhDYjBocmJfNGp4MWRxeldoNnhtS3ZxTGQzcEFJWGZkdWdqYzlQZnZvSDZmR0FfczZnWUlsWVJjakxQZnJaX0l5X0RjeWZIbTdDY2lPek1GMW5xYW1EQTlHcmc5cHJ4REJ4UlB1MEJnQmFCS2xwb3VHemhTd1VxVDhWQW9JWGp6cUNhakxtZHQ3Z3NrN3VR0gG3AUFVX3lxTFA2UkRILVZVeHhxZDRvY09DcUVId2E0SWxYdWdINThvU3RaMUJVSV8wSlBBbXhfSFkybHVTUjVfRHl6ZnZvV1NuOV9lYU1XbGRJbnY2UllFSm1UcGZaTVNaU01INFQycFlVRGEwejI3VU9WYlg3Q18xdjFRWm5oYmItOTlSbHBGN050UEpQTWNhMGpKNUE3ZC1ZSUxUclltSzNUMlV1LVNnSm50dGZNVHdyMG1PSWExQQ?oc=5,2026-03-18T19:26:56
CL-000029,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-11-24,2025-11-24,"EV-036BAEEF86,EV-036BAEEF86",2,EV-036BAEEF86,news,Medium,,"breach,fine",SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,Reuters,https://news.google.com/rss/articles/CBMiywFBVV95cUxOcFBDWmJpR1ZpT1E4TERZSVdfWnp1MUZiNU5uM0NGeHBnOFBGOEdDcXRweS1KTGtmOHdsRUQ4aXI3RzJZT004VXdFQzVTNVR1TnV4VEpQQVhUXy1IRm83VlRJYkNOaHc3QU0xdFRZZkdrWnAyWFVYYkdhZThSTmhUN08tWDJQb19OMkIxSmRINGs4aFpRNUR1a3lHUjlkck9yRE50XzNYd3E2c3FWRGNwME5xbkc2eVlDUUhYTmJ5eUp1SlRjdGpLa1pxNA?oc=5,2026-03-18T19:26:56
CL-000030,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-11-24,2025-11-24,"EV-DBE99CBB20,EV-DBE99CBB20",2,EV-DBE99CBB20,news,Medium,,breach,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,SecurityWeek,https://news.google.com/rss/articles/CBMijwFBVV95cUxQeWNxSHpCajM0VXR4QzZXVHo2aWYtUDljN2kxTC1ncG95RWxKeFl1czF4ZExjUkx1aWlKUUVCM2JWX2ZDM0ZiR0Uwb1dWaHJveTJJOXl4UGF4d2lPRkRJRjFmQ0h0VlRzTy1hdlhtNmpzTzNycUxxSUpac3IzRjFfUW5BbTdKczJqbWRYeGxqSdIBlAFBVV95cUxPTzdPcV9DZDZ0aGJIaGFSRzlIRXdHUHNWNW1WdlFWNUxYa19JNTVxRzEwUmNqeEt0SVVBTEZoUU91NWhFMU1CNUNDbzJyNDFsTkhSRmlBYlZXajBnREl3V2x6SFcwYkMzV2EtVDVueGg2T1B5d3prS05BUUV1WWF4MGZaMWpHSDFKVjhTOWFMWjJ2MXFx?oc=5,2026-03-18T19:26:56
