cluster_id,cluster_type,profile_ids,event_type,primary_asset_or_service,business_function,start_date,end_date,evidence_ids,evidence_count,anchor_evidence_id,anchor_source_type,evidence_strength,entity_summary,impact_keywords,cluster_summary,confidence_score,publishers,urls,last_updated
CL-000013,INCIDENT,SP-001,UNKNOWN,UNKNOWN,Distribution Operations,2025-02-25,2025-02-25,EV-E0AF77E9D5,1,EV-E0AF77E9D5,news,Weak,,,UNKNOWN affecting UNKNOWN in Distribution Operations.,0.5,American Hospital Association,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNVy1CVkxIbzdrWnhDU2pfNUVZVGFJdGVpMkJyNXRBWlhkbFhqYzFjY1RjMW9jMnppcDQ2ZUpHcmlJZF85NGUyUFBHeVZCRjB6RUxLRkhBSzBtWlUtT0RUVEd5VXh1eDF0RmdHSkRHUE85M01jaVhDUFFOVkRMRFlFNEFKS1lVY1FQZXp3dVlhX0JiRlhvelRnWEs3Ni1yVHVLbGc4b3pqempBRnZaS244U05sQThoUk45X1EwNWtlcHcyYnFPbGpzaTkxZUhENERMb1E?oc=5,2026-04-28T15:39:16
CL-000014,INCIDENT,SP-006,OUTAGE_APPLICATION,applications,Identity & Access Management,2025-04-30,2025-04-30,EV-D6D7D121D7,1,EV-D6D7D121D7,news,Weak,,outage,OUTAGE_APPLICATION affecting applications in Identity & Access Management.,0.5,Reuters,https://news.google.com/rss/articles/CBMiogFBVV95cUxOTy1uSkIxQkNWLUdyVTBWNmk5eUJRWU43cnBoQmNIa0pUdEtjOWwyRkJMaG1lMlVkU3hrQ2xlN2NNd2x5Q2wzRVFfTFBDelpzcVNoSk11c3ZOaks1MlN2bFlwb2xyTi1oTGdUbmxsSHRZSFZmQjZtZEdIbHpJa1Q3bHdYczJvbmJ3QkEwSTlUY0FaU25OcjZtcG1BT3p4QlI1TlE?oc=5,2026-04-28T15:39:16
CL-000015,INCIDENT,SP-013,UNKNOWN,UNKNOWN,Security Operations,2025-05-03,2025-05-03,EV-7C3D0CF5BF,1,EV-7C3D0CF5BF,news,Weak,,,UNKNOWN affecting UNKNOWN in Security Operations.,0.5,The Hacker News,https://news.google.com/rss/articles/CBMifEFVX3lxTE0zRWpycGpiZV9xdElOZl9JSlFwNUZRakk5TWN1dEQyS0lGd0JySGwyMmh0TDVfMUNNeEhBYVZrWG1aOGE5MGJ3bmdlNVlpTGZ2dzJPWWpOSWVSOFFkemRTdEQyUDliTVN1VkZkaXFGSjBNbDFlMTBLTVo2Zzg?oc=5,2026-04-28T15:39:16
CL-000016,INCIDENT,SP-001,UNKNOWN,wms,Distribution Operations,2025-05-06,2025-05-06,EV-CAE891542A,1,EV-CAE891542A,news,Weak,,,UNKNOWN affecting wms in Distribution Operations.,0.5,Supply Chain Management Review,https://news.google.com/rss/articles/CBMikAFBVV95cUxOTi1wNHM1NHluSUdIQkVaeVY3dTVIeWdKRU11QWdxaU9feGRrMFZFNjJCOTdnV2JZMExINWV5Rnp3RnkxTDBBakMtWTJJMGd4Wmk3YjBraE1BcFZVdkZYWm5zUFlFVkUtSVVjZVRNX1VuVndWOTBHWTY3c1N6Q3JHVkRPTjAwLU5qX2tTYV9nZTE?oc=5,2026-04-28T15:39:16
CL-000017,INCIDENT,SP-013,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,2025-05-06,2025-05-06,EV-DC00DEDFF8,1,EV-DC00DEDFF8,news,Weak,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.,0.5,BleepingComputer,https://news.google.com/rss/articles/CBMirAFBVV95cUxOMmdtZ2pKN2VPMW1YU0pSeklrWkUyZWlWd1JnQ3RYMXJzRzNKT2VfdUVVemxDNEFvcmJ1TGtiM0xsUG5ESWYyYzlGSS1wQUJENFhNemx2OTBKR00wOW5wSTJLVHZCNnh2eXVZYmlxWTJ4ZjZwalFScjRKLVByYXFURTNtUWh0cmpVQmFYMnpiVVdMd0l6OHYzd3kyMHlBMExzQ1E3cDVWWDhYZHdU0gGyAUFVX3lxTE9sRlBiMG1DQ3JndkkwMDRmaGxyZnl2UnpQTDQxNUs0azVmbVFoRXVITFZfS2UwVlUtc3VGUmxZd3lRbDFuOVFGSGk0dmkwUUxpdWI5bzdINTlXOVlTMEJ4Zmw4WkprVTBPVHVrazNVUlpXTmRlMGNKOV90bDh4WVF0Um9IRU9RU2JwaEJmUmQyVFNkVS1sbF9UWVE0NXZRcEpfZG9QbUV5V3NGY1k2ZEQ2d2c?oc=5,2026-04-28T15:39:16
CL-000018,INCIDENT,SP-002,UNKNOWN,erp,Order Processing,2025-06-04,2025-06-04,EV-B485D27EE2,1,EV-B485D27EE2,news,Weak,,,UNKNOWN affecting erp in Order Processing.,0.5,TechTarget,https://news.google.com/rss/articles/CBMijgFBVV95cUxQWmJaUnF2LWFjbU9jaFNIZEhJZzNjWEh3NmwwX2J3SkY2d1hGM0Y3YjdoZHFSLUxTU0hhV1NhdkEyOE8wd1BWa3JjSDBOT1lUX1E1VHBzWHBUS0xqLW9GWldWN2xOV2NIdzIzeFcxYVRzUUl3TDJHR0ZBZ0ViYUk2aTVpU0ljcy14MlJDV3h3?oc=5,2026-04-28T15:39:16
CL-000019,INCIDENT,SP-013,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,2025-06-09,2025-06-09,EV-6FE9A94A90,1,EV-6FE9A94A90,news,Weak,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.,0.5,Infosecurity Magazine,https://news.google.com/rss/articles/CBMigwFBVV95cUxPQS02aGtMWWgxTjZPMkhFV2dRSE9vb3Z1N2ZPY1dOOUJyRFJZUUdvMlA4U09OQ1h6Y3NpSmlJMUNpZU04Sm5leGtNa19qQUxwRHM3UHlhc1o2T3Q4Vkktb1RKQUNhcUs5MlNIUzI0TGtBWDU5TGV6LUhJT0JKQVcwVmVsVQ?oc=5,2026-04-28T15:39:16
CL-000020,INCIDENT,SP-005,OUTAGE_APPLICATION,applications,Cloud Infrastructure,2025-06-12,2025-06-12,EV-7A68EB2C9F,1,EV-7A68EB2C9F,news,Weak,,outage,OUTAGE_APPLICATION affecting applications in Cloud Infrastructure.,0.65,The Cloudflare Blog,https://news.google.com/rss/articles/CBMidkFVX3lxTE04WFBadm40azNtdFFONXpYeUYzLW4tUzNBSkN6Z2syNkdLQXltOGlNWWlodFA3c0RBbmFoSG5jamN1WmpxNzQ3VVBHYVM3cnJmVlFSdzkxUFctRGlaemRGUE9oQVNoeUVESmNGd1IyOEhwd2RpY3c?oc=5,2026-04-28T15:39:16
CL-000021,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2025-06-19,2025-06-19,EV-9CA0D7CC4E,1,EV-9CA0D7CC4E,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5paTYxVWZLNkZaMS1GNDluLU1ra3VfS1dBRU1DOGV0MXdyZ2lmRV8wZjhiMjhfcTcxajFiTGNOSW02b1cyd2dSVW9sRWtHM21UcDIzU2F5NW90b3Jj?oc=5,2026-04-28T15:39:16
CL-000022,INCIDENT,SP-002,OUTAGE_APPLICATION,systems,Order Processing,2025-06-20,2025-06-20,EV-5A1661C879,1,EV-5A1661C879,news,Weak,,downtime,OUTAGE_APPLICATION affecting systems in Order Processing.,0.5,Amazon Web Services,https://news.google.com/rss/articles/CBMisAFBVV95cUxNRmV0M0tZSjlFdzY0djhIXzJVbjByVVlTR0tPSGdJTUdNUkpGckxubllkLUZfTGNkVi1GT3RMMzJDSURYaTdXV2JhSFNOQUlHV0hWejc0el9jOXY4Z2lZUUxvSEQtWW9jRUFFdkhsMFFIcDlIMmVicnZIdDJKd1doamdxNjlSVFB2Ui1FaDNLaGJRZXlsU21IeHBYWEwxUmxTZ1E4NDlVRFNfRGNzRzE0RA?oc=5,2026-04-28T15:39:16
